Request,Response Time (seconds)
1,3.049858570098877
2,3.07207989692688
3,2.9693667888641357
4,2.9044272899627686
5,2.9829206466674805
6,2.969815731048584
7,2.91862154006958
8,2.9592745304107666
9,3.082303524017334
10,3.071823835372925
11,3.034236431121826
12,2.90464448928833
13,2.976714611053467
14,2.9621036052703857
15,2.9697425365448
16,2.9693222045898438
17,3.0724997520446777
18,3.071377754211426
19,2.969536542892456
20,2.9081406593322754
21,2.873379945755005
22,2.9070277214050293
23,2.8823001384735107
24,2.9696919918060303
25,3.071784257888794
26,2.969508171081543
27,3.0719757080078125
28,2.9696619510650635
29,2.9697322845458984
30,3.007838010787964
31,2.8709115982055664
32,2.90525221824646
33,2.86918044090271
34,2.8559441566467285
35,2.965646266937256
36,2.976226806640625
37,2.8795862197875977
38,2.985081434249878
39,2.9695589542388916
40,2.9699013233184814
41,3.0131547451019287
42,2.8820552825927734
43,3.013396739959717
44,2.9693384170532227
45,3.1741347312927246
46,3.072492837905884
47,2.968919277191162
48,2.9692625999450684
49,3.0228536128997803
50,3.34025502204895
