Request,Response Time (seconds)
1,2.911129951477051
2,2.952672243118286
3,3.027059555053711
4,3.9228503704071045
5,2.984180450439453
6,3.922119140625
7,3.203470230102539
8,4.050287485122681
9,3.0207345485687256
10,3.939971685409546
11,4.381422996520996
12,2.9369471073150635
13,2.969299077987671
14,5.120342016220093
15,3.071805715560913
16,3.0724008083343506
17,4.095547914505005
18,4.096019506454468
19,5.0519843101501465
20,3.964158773422241
21,3.1167688369750977
22,5.0780980587005615
23,5.160798072814941
24,3.951920986175537
25,4.032382488250732
26,3.9002773761749268
27,3.01721453666687
28,2.9388833045959473
29,2.922541379928589
30,3.221045970916748
31,3.093278408050537
32,2.9250082969665527
33,3.9066755771636963
34,4.966668367385864
35,5.152134656906128
36,2.912432909011841
37,2.917710542678833
38,3.95664381980896
39,4.403362512588501
40,4.98096227645874
41,3.58280348777771
42,5.275622606277466
43,2.983708143234253
44,3.9164860248565674
45,2.8935635089874268
46,5.16940450668335
47,3.147176504135132
48,4.197936296463013
49,5.222504615783691
50,5.286276340484619
